,url,result
0,0-01x-merchandise.554217.xyz,100%
1,0003update.wolf-trademarket.live,100%
2,004-8send-jngpro0-duct23.7980245.xyz,100%
3,00790fca.sibforms.com,100%
4,008753331120.com,100%
5,00ckpr.cn,100%
6,00lx-inform.653437.xyz,100%
7,00lx-shopping.385430.xyz,100%
8,00ooo.xyz,100%
9,00sms.xyz,100%
10,00wiadomoscifakty24online.pl,100%
11,01sms.xyz,100%
12,01x.cargodelivery-inform.xyz,100%
13,01x.user-sendproduct.xyz,100%
14,01x4payyiing13shhop.78964210.xyz,100%
15,01x899-payingdellvery.6495821.xyz,100%
16,02-wiadomosci.com.pl,100%
17,0212806.ir,100%
